"","svm_p_f_glpk_30","rxn_id","rxn_name"
"X1618",0.00365853658536586,"1618","'B-ketoacyl-CoA reductase (3-hydroxyicosanoyl-CoA)'"
"X1619",0.00365853658536586,"1619","'B-ketoacyl-CoA reductase (3-hydroxydocosanoyl-CoA)'"
"X1624",0.00365853658536586,"1624","'B-hydroxyacyl-CoA dehydratase (trans-octadec-2-enoyl-CoA)'"
"X1625",0.00365853658536586,"1625","'B-hydroxyacyl-CoA dehydratase (trans-icos-2-enoyl-CoA)'"
"X1626",0.00365853658536586,"1626","'B-hydroxyacyl-CoA dehydratase (trans-docos-2-enoyl-CoA)'"
"X1631",0.00365853658536586,"1631","'trans-2-enoyl-CoA reductase (n-C18:0CoA)'"
"X1632",0.00365853658536586,"1632","'trans-2-enoyl-CoA reductase (n-C20:0CoA)'"
"X1633",0.00365853658536586,"1633","'trans-2-enoyl-CoA reductase (n-C22:0CoA)'"
"X1636",0.0024390243902439,"1636","'palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA), ER membrane'"
"X1649",0.00365853658536586,"1649","'fatty-acid--CoA ligase (tetradecanoate), ER membrane'"
"X1667",0.00365853658536586,"1667","'fatty-acid--CoA ligase (behenate), ER membrane'"
"X1921",0.00609756097560976,"1921","'PS decarboxylase (1-16:1, 2-18:1), mitochondrial membrane'"
"X1945",0.00609756097560976,"1945","'PE methyltransferase (1-16:1, 2-18:1), ER membrane'"
"X1953",0.00609756097560976,"1953","'phosphatidyl-N-methylethanolamine methyltransferase (1-16:1, 2-18:1), ER membrane'"
"X1961",0.00609756097560976,"1961","'phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:1, 2-18:1), ER membrane'"
"X2865",0.0121951219512195,"2865","'inositolphosphotransferase (PI (1-18:1, 2-16:1) MIPC-D (C26))'"
"X2875",0.00731707317073171,"2875","'IPC synthase (PI (1-16:1, 2-18:1) ceramide-1 (C24))'"
"X2876",0.00731707317073171,"2876","'IPC synthase (PI (1-18:0, 2-18:1) ceramide-1 (C24))'"
"X2951",0.00365853658536586,"2951","'myristate transport, cytoplasm-ER membrane'"
"X2955",0.00365853658536586,"2955","'oleate transport, cytoplasm-ER membrane'"
"X2958",0.00365853658536586,"2958","'myristoyl-CoA transport, cytoplasm-ER membrane'"
"X2968",0.00365853658536586,"2968","'H2O transport, cytoplasm-ER membrane'"
"X2969",0.00365853658536586,"2969","'CO2 transport, cytoplasm-ER membrane'"
"X2970",0.00365853658536586,"2970","'coenzyme A transport, cytoplasm-ER membrane'"
"X2971",0.00365853658536586,"2971","'NADPH transport, cytoplasm-ER membrane'"
