ORF PROT,SC,SM,YPD
YAL009W,1.01084178518,0.992601278515,1.03150326776
YAL011W,1.01530047148,0.988674320622,0.996259733251
YAL013W,0.935823653332,0.810549670953,0.809119261432
YAL015C,0.994060940288,1.00071551878,1.00436569288
YAL019W,0.927168860016,0.98147650313,0.95794528738
YAL039C,0.981929213885,0.816914167302,0.799578103396
YAL040C,0.871421122158,0.902350473852,0.916483577798
YAL046C,0.905750302443,0.76699160414,1.01947593762
YAL053W,0.961853221374,0.972290717298,1.00053272659
YAL054C,1.0256185125,0.998323113904,1.00181978287
YAL055W,0.992106289421,0.935303571015,0.966642964182
YAL059W,0.92856536938,0.949037195202,0.890213053201
YAR002W,0.890889490123,0.995415110576,0.851849708957
YAR035W,0.990503849703,0.986846563208,1.02386771529
YAR042W,0.912597645085,0.954901252107,0.980985472802
YBL003C,0.965659065873,0.935074727955,0.899593627953
YBL005W,0.962861598869,0.968891683892,1.00229889224
YBL006C,0.893088962007,0.701153634328,0.970618907505
YBL007C,0.7634751993735,0.639541935481,0.763468151332
YBL008W,0.812942421683,0.827174357923,0.825087358332
YBL010C,0.923182968045,0.948214674278,1.00329677546
YBL011W,0.919265445918,0.946122136738,0.604042045532
YBL016W,0.987627655492,1.03338381435,0.993652606642
YBL019W,0.978463533607,1.00816237517,1.05347128793
YBL024W,0.906645101835,0.874643329542,1.05659204641
YBL039C,0.93765273166,0.9457224306055,0.8347382694785
YBL047C,0.836356328258,0.72310094743,0.950222821142
YBL051C,0.802119461186,0.788614821967,0.896803984055
YBL054W,0.991197687278,1.04573184382,0.998179244074
YBL055C,0.933123412665,0.945980780522,0.842643405542
YBL056W,0.94307011626,0.94616381109,0.969256320299
YBL057C,0.968763008321,0.98718688785,1.0139294102
YBL063W,0.96703032843,0.949999582826,0.992836695393
YBL066C,0.955058592423,0.948798719685,1.00179999043
YBL067C,1.02041391152,1.0559188709,1.02390491786
YBL080C,0.8574712526455,0.763669799343,0.7651364209055
YBL088C,0.956982623752,0.998471902251,0.927938940162
YBR033W,1.02417462549,1.03661306141,1.01493187305
YBR034C,0.774055237091,0.752350128415,0.966902845069
YBR057C,0.960687268644,0.952494441689,1.00673150868
YBR058C,0.752033646286,0.812441078021,0.922751437832
YBR059C,1.05446426729,1.03195064866,1.03408961426
